basinid,centroidid,centrx,centry,elev_m,avgelev_m,area_km2,length_m,skyview,basin_id
1010,1010,685547.3636,5101156.91,424.6589966,741.938152,6.3404,1158.82251,0.898124173,1010
1054,1054,684523.5807,5100201.051,445.8770142,786.0909735,7.0624,1228.528137,0.892707571,1054
1056,1056,697235.4096,5100490.427,595.4229736,773.7606368,4.4824,1929.360749,0.703749885,1056
1118,1118,699476.1578,5102073.051,1164.525024,786.7770832,7.5936,6709.259736,0.781201153,1118
1127,1127,683266.528,5099644.332,487.5230103,845.5394171,7.5956,2633.036072,0.894805488,1127
1133,1133,679156.1008,5101097.249,1368.755005,1413.054066,4.1116,2018.233765,0.875372994,1133
1138,1138,671668.6992,5100803.533,728.2210083,772.2673202,7.573852228,5885.497819,0.890662793,1138
116,0116,692626.4938,5115776.656,1730.093018,1950.568694,7.8832,4391.858582,0.875103801,116
1164,1164,676149.4214,5101213.257,964.8369751,1036.583304,8.540413028,6895.389958,0.791772314,1164
1168,1168,703871.1814,5100559.587,873.2479858,832.5679622,4.2256,3632.203461,0.716235787,1168
1173,1173,689786.0048,5098412.154,895.2139893,1121.782134,5.2132,1987.939392,0.818602011,1173
1176,1176,700382.9871,5099457.138,270.4240112,631.6160617,4.2904,2484.507935,0.779062016,1176
1191,1191,698624.3302,5099248.917,1007.125,952.9738245,5.2672,2410.782105,0.59090928,1191
126,0126,686821.6456,5113895.645,1573.442993,1809.112208,4.5552,2679.655121,0.8259698,126
1278,1278,671711.6979,5099360.242,735.0579834,792.2140277,4.203410167,3996.96738,0.875258965,1278
1281,1281,701275.4321,5097769.558,1228.177979,976.6990158,4.7024,2021.665222,0.77838507,1281
1283,1283,689205.2684,5097086.647,1205.327026,1430.493812,4.7984,792.54834,0.732006415,1283
129,0129,694763.6743,5115296.148,1586.102051,1711.347778,4.4896,3826.173157,0.810598198,129
13,0013,694523.2353,5117871.788,2105.485107,2081.60973,6.6888,3847.350647,0.846585148,13
1301,1301,702777.5286,5098887.887,251.8710022,508.1190777,4.0916,2176.812409,0.796229054,1301
1304,1304,680812.8546,5100024.119,1094.686035,1047.829168,4.25,3590.19336,0.904482276,1304
1319,1319,703389.6531,5095960.703,1216.880981,1159.671767,7.922,1090.538239,0.873864049,1319
1323,1323,682422.7136,5098290.476,426.5190125,754.1131573,4.9852,1294.558441,0.8918954,1323
1341,1341,680352.4956,5097395.962,432.678009,619.840708,6.6276,2109.360749,0.918769849,1341
1343,1343,688132.9956,5096525.892,1134.678955,1333.481637,5.4092,1122.253967,0.644363228,1343
