oaid,nome,lat,lon,elev,type
T0008,Paneveggio (campo neve),46.3095,11.7475,1540,TA;TP
T0009,Centa San Nicolo',45.9701,11.2342,805,TA;TP
T0010,Levico (Terme),46.0106,11.3051,502,TA;TP
T0014,Telve (Pontarso),46.1158,11.4945,925,TA;TP
T0015,Bieno,46.0811,11.5572,843,TA;TP
T0018,Pieve Tesino (O.P. Enel),46.0702,11.6198,785,TA;TP
T0021,San Martino Di Castrozza,46.2613,11.8015,1450,TA;TP
T0024,Passo Cereda,46.1959,11.9157,1322,TA;TP
T0027,Val Noana (Diga),46.1387,11.8393,1030,TA;TP
T0030,Canal San Bovo,46.1496,11.7348,750,TA;TP
T0032,Lavarone (Chiesa),45.9403,11.2537,1155,TA;TP
T0038,San Michele All'Adige,46.1926,11.1325,205,TA;TP
T0059,Ziano Di Fiemme (Malga Sadole),46.2606,11.5976,1608,TA;TP
T0063,Pian Palu' (Diga),46.3366,10.6139,1800,TA;TP
T0064,Peio,46.364,10.6757,1565,TA;TP
T0065,Careser (Diga),46.4226,10.6991,2600,TA;TP
T0066,Cima Cavaion,46.423,10.715,2895,TA;TP
T0068,Cogolo Pont (Centrale),46.365,10.6889,1190,TA;TP
T0069,Passo Tonale,46.2633,10.6111,1795,TA;TP
T0071,Mezzana,46.3133,10.7959,905,TA;TP
T0074,Male',46.3516,10.9184,720,TA;TP
T0075,Rabbi (Somrabbi),46.4103,10.8036,1352,TA;TP
T0076,Rabbi (San Bernardo),46.4014,10.8495,1132,TA;TP
T0080,Fondo,46.4396,11.138,987,TA;TP
T0082,Passo Mendola,46.4192,11.1893,1315,TA;TP
T0083,Cles (Convento),46.362,11.0312,665,TA;TP
T0088,Tres,46.3207,11.1014,838,TA;TP
T0090,Mezzolombardo (Convento),46.2142,11.0934,225,TA;TP
T0092,Pian Fedaia (Diga),46.459,11.8629,2063,TA;TP
T0094,Passo Costalunga,46.4045,11.6136,1750,TA;TP
T0096,Moena (Diga Pezze'),46.3836,11.6647,1205,TA;TP
T0099,Cima Paganella,46.1433,11.0373,2125,TA;TP
T0101,Zambana (Idrovora),46.1568,11.0791,205,TA;TP
T0102,Predazzo (Centrale),46.31,11.5951,1005,TA;TP
T0103,Passo Rolle,46.2979,11.7871,2012,TA;TP
T0104,Passo Valles,46.3384,11.7998,2032,TA;TP
T0107,Cavalese (Convento),46.2911,11.4592,1000,TA;TP
T0109,Val Cadino (Segheria Canton),46.2458,11.4145,964,TA;TP
T0113,Grumes,46.2207,11.2967,845,TA;TP
T0114,Valda,46.2092,11.2671,855,TA;TP
T0115,Segonzano (Gresta),46.2112,11.2896,660,TA;TP
T0116,Segonzano (Scancio),46.1916,11.26,720,TA;TP
T0117,Albiano (Cave Di Porfido),46.1366,11.1832,780,TA;TP
T0118,Cembra,46.1704,11.2177,652,TA;TP
T0119,Lisignago,46.1593,11.1921,613,TA;TP
T0129,Trento (Laste),46.0718,11.1357,312,TA;TP
T0135,Trento (Roncafort),46.0956,11.1014,194,TA;TP
T0136,Trento (Ufficio),46.09,11.118,218,TA;TP
T0137,Trento (Piazza Vittoria),46.0677,11.1238,196,TA;TP
T0139,Sant'Orsola Terme,46.1071,11.3022,925,TA;TP
T0141,Sternigo,46.1399,11.2522,1040,TA;TP
T0142,Povo,46.0669,11.1577,430,TA;TP
T0144,Monte Bondone,46.0135,11.054,1500,TA;TP
T0146,Aldeno (San Zeno),45.968,11.0912,182,TA;TP
T0147,Rovereto,45.8963,11.044,203,TA;TP
T0148,Terragnolo (Piazza),45.8796,11.1511,800,TA;TP
T0149,Vallarsa (Diga Di Speccheri),45.7685,11.135,875,TA;TP
T0150,Vallarsa (Foxi),45.7901,11.111,665,TA;TP
T0151,Mori (Loppio),45.8553,10.9314,230,TA;TP
T0152,Brentonico,45.8172,10.9531,693,TA;TP
T0153,Ala (Ronchi),45.7392,11.0655,692,TA;TP
T0154,Ala (Convento),45.7571,10.9999,165,TA;TP
T0166,Val Di Genova (O.P. Enel),46.1696,10.7273,900,TA;TP
T0167,Pradalago (Rifugio Viviani),46.2497,10.8139,2084,TA;TP
T0168,Passo Campo Carlo Magno,46.2425,10.8384,1681,TA;TP
T0169,Monte Groste' (Rifugio Graffer),46.2177,10.8898,2258,TA;TP
T0175,Pinzolo,46.1565,10.7575,760,TA;TP
T0177,Val di Breguzzo (Ponte Arno'),46.032,10.6406,1148,TA;TP
T0178,La Rocca (Centrale),46.0224,10.7082,943,TA;TP
T0179,Tione,46.0411,10.7309,533,TA;TP
T0182,Montagne (Larzana),46.0591,10.7517,955,TA;TP
T0186,Nembia (Centrale),46.1062,10.938,810,TA;TP
T0189,Santa Massenza (Centrale),46.0652,10.9803,252,TA;TP
T0190,Lago Di Cavedine,45.9943,10.9512,245,TA;TP
T0193,Torbole (Belvedere),45.8701,10.8774,90,TA;TP
T0200,Tenno,45.9191,10.8313,415,TA;TP
T0203,Forte D'Ampola,45.8639,10.6463,740,TA;TP
T0204,Bezzecca,45.8968,10.7191,698,TA;TP
T0210,Folgaria,45.9153,11.1644,1121,TA;TP
T0212,Spormaggiore,46.2196,11.0469,561,TA;TP
T0222,Borgo Valsugana,46.053,11.4505,385,TA;TP
T0226,Monte Ruioch (Rifugio Tonini),46.1673,11.3515,1900,TA;TP
T0227,Cermis (Casere),46.2504,11.4915,1900,TA;TP
T0228,Vigo Di Fassa (Stalon De Vael),46.4244,11.6361,2040,TA;TP
T0229,Campitello (Malga Do Col D'Aura),46.4909,11.6576,2050,TA;TP
T0231,Mazzin (Campestrin),46.4648,11.7151,1385,TA;TP
T0236,Romeno,46.3907,11.1189,958,TA;TP
T0308,Careser Alla Baia,46.4308,10.7066,2635,TA;TP
T0322,Arco (Arboreto),45.9223,10.883,115,TA;TP
T0323,Campodenno (frana),46.2598,11.0284,610,TA;TP
T0324,Prezzo (frana),45.9342,10.6317,680,TA;TP
T0325,Villa Rendena (frana),46.0606,10.7228,840,TA;TP
T0326,Vigolo Vattaro (frana),46.0092,11.1814,815,TA;TP
T0327,Monte Bondone (Giardino Botanico),46.0219,11.0399,1552,TA;TP
T0354,Tremalzo,45.8417,10.6841,1560,TA;TP
T0355,Passo Brocon,46.1167,11.6633,1610,TA;TP
T0356,Trento (Aeroporto),46.016,11.1261,185,TA;TP
T0357,Male' (Bivacco Marinelli),46.3563,10.8607,2100,TA;TP
T0360,Passo Tonale,46.2626,10.5968,1875,TA;TP
T0363,Vallarsa (Malga Boffetal),45.7506,11.1635,1550,TA;TP
T0364,Vermiglio (Capanna Presena),46.2288,10.5787,2715,TA;TP
T0365,Cima Presena,46.22,10.5835,3015,TA;TP
T0366,Peio,46.3644,10.6778,1585,TA;TP
T0367,Cavalese,46.2848,11.4517,958,TA;TP
T0368,Monte Bondone (Viote),46.0137,11.0549,1490,TA;TP
T0369,Passo Sommo,45.9186,11.2061,1360,TA;TP
T0370,Storo (Lodrone),45.8291,10.5356,392,TA;TP
T0371,Lases (frana),46.1394,11.2234,705,TA;TP
T0372,Peio (Crozzi Taviela),46.3842,10.632,2960,TA;TP
T0373,Daone (Malga Bissina),46.0529,10.5141,1785,TA;TP
T0374,Rovereto (Malga Zugna),45.8076,11.0582,1620,TA;TP
T0375,Marmolada (Pian Dei Fiacconi),46.4447,11.8608,2676,TA;TP
T0376,Tesero (Pala De Santa),46.3467,11.5303,2200,TA;TP
T0377,Cima Rosetta,46.2646,11.8331,2685,TA;TP
T0379,Dro (Marocche),45.9839,10.9413,282,TA;TP
T0380,Pian Palu' (Malga Giumella),46.3409,10.6126,1945,TA;TP
T0381,Vallarsa (Parrocchia),45.7803,11.1228,737,TA;TP
T0382,Dos Del Sabion (Monte Grual),46.1723,10.8118,1894,TA;TP
T0383,Molveno,46.1416,10.9575,835,TA;TP
T0384,Passo Manghen,46.1749,11.4399,2035,TA;TP
T0389,Predazzo,46.2979,11.5982,1000,TA;TP
T0392,Telve,46.058,11.4775,410,TA;TP
T0393,Storo,45.8468,10.5624,385,TA;TP
T0396,Sarca di Val Genova al Ghiacciaio del Mandrone,46.1864,10.565,2595,TA;TP
T0397,Cles (Maso Maiano),46.3612,11.0399,655,TA;TP
T0399,Fondo,46.4377,11.1296,910,TA;TP
T0401,Arco (Bruttagosto),45.9104,10.8871,85,TA;TP
T0402,Bezzecca (Spessa),45.8956,10.725,710,TA;TP
T0403,Canazei (Ciampac),46.446,11.7692,2150,TA;TP
T0404,Marmolada (Sas Del Mul),46.4436,11.8808,2606,TA;TP
T0405,Ala (Maso Le Pozze),45.7861,11.0238,170,TA;TP
T0406,Paganella (Malga Terlago),46.143,11.0215,1790,TA;TP
T0407,Grigno (Barricata),45.9799,11.5902,1345,TA;TP
T0408,Mezzolombardo (Maso Delle Part),46.1873,11.1044,204,TA;TP
T0409,Pergine Valsugana,46.0619,11.2443,498,TA;TP
T0410,Daone (Pracul),45.9715,10.5631,897,TA;TP
T0411,Villa Rendena (Rifugio Gork),46.0809,10.6607,1203,TA;TP
T0412,Zuclo (Malga Casinot),45.9713,10.742,1695,TA;TP
T0413,Val D'Ambiez,46.1334,10.8814,1888,TA;TP
T0414,San Lorenzo In Banale (Pergoletti),46.0663,10.9113,685,TA;TP
T0415,Bresimo (Malga Bordolona),46.4331,10.8893,1815,TA;TP
T0416,Vermiglio (Masi di Palu'),46.2841,10.6947,1575,TA;TP
T0417,Rumo (Lanza),46.4539,11.0085,1100,TA;TP
T0418,Castelfondo (Malga Castrin),46.51,11.0436,1815,TA;TP
T0419,Tonadico (Castelpietra),46.1989,11.8657,1045,TA;TP
T0420,Mezzano,46.1547,11.8126,640,TA;TP
T0421,Caoria,46.192,11.6839,803,TA;TP
T0422,Pieve Tesino (Malga Sorgazza),46.1335,11.5999,1435,TA;TP
T0423,Grigno,46.0063,11.6568,238,TA;TP
T0424,Ronchi Valsugana (Malga Casapinello),46.096,11.4023,1710,TA;TP
T0425,Passo Pian Delle Fugazze,45.759,11.1748,1170,TA;TP
T0426,Giustino (frana),46.1475,10.7755,877,TA;TP
T0427,Folgarida Alta,46.3019,10.8652,1368,TA;TP
T0428,Pieve Di Bono,45.941,10.6429,525,TA;TP
T0429,Lago Di Calaita,46.2006,11.7935,1605,TA;TP
T0431,Capriana,46.2631,11.3363,1055,TA;TP
T0432,Val Sella (Montagnola),46.0061,11.3793,956,TA;TP
T0433,Val Genova (Malga Caret),46.1814,10.6348,1418,TA;TP
T0435,Pinzolo (Malga Zeledria),46.2449,10.8344,1775,TA;TP
T0436,Ragoli (Rifugio Alimonta),46.1725,10.8906,2577,TA;TP
T0437,Canazei (Gries),46.4783,11.7669,1465,TA;TP
T0439,Ghiacciaio Presena,46.2231,10.5836,2852,TA;TP
T0442,Ghiacciaio Presena (Passo Paradiso),46.2385,10.5814,2587,TA;TP
T0443,Brentonico (Santa Caterina),45.824,10.9598,727,TA;TP
T0444,Ghiacciaio di Fradusta,46.2551,11.8717,2720,TA;TP
T0445,Canazei (Coi de Paussa),46.472,11.849,2376,TA;TP
T0450,San Martino di Castrozza,46.2616,11.7963,1470,TA;TP
T0454,Trento (Liceo Galilei),46.0644,11.1374,255,TA;TP
T0469,Castello Tesino (Le Parti),46.0569,11.6299,801,TA;TP
T0473,Ghiacciaio Del Careser,46.4513,10.7183,3093,TA;TP
T0994,Folgarida Bassa,46.3036,10.8591,1280,TA;TP
