oaid,nome,lat,lon,elev,type,x_utm32n,y_utm32n
T0008,Paneveggio (campo neve),46.3095,11.7475,1540,TA;TP,711552.3720184565,5132105.052110954
T0009,Centa San Nicolo',45.9701,11.2342,805,TA;TP,673091.0101446983,5093152.3950658785
T0010,Levico (Terme),46.0106,11.3051,502,TA;TP,678453.5051505296,5097808.613888607
T0014,Telve (Pontarso),46.1158,11.4945,925,TA;TP,692749.2716778939,5109938.891579112
T0015,Bieno,46.0811,11.5572,843,TA;TP,697718.0256743368,5106237.593077032
T0018,Pieve Tesino (O.P. Enel),46.0702,11.6198,785,TA;TP,702597.9315660013,5105184.172298805
T0021,San Martino Di Castrozza,46.2613,11.8015,1450,TA;TP,715899.5394220564,5126895.410801318
T0024,Passo Cereda,46.1959,11.9157,1322,TA;TP,724967.3648259263,5119946.624642382
T0027,Val Noana (Diga),46.1387,11.8393,1030,TA;TP,719300.1201507992,5113377.601532
T0030,Canal San Bovo,46.1496,11.7348,750,TA;TP,711187.3422285838,5114305.344721005
T0032,Lavarone (Chiesa),45.9403,11.2537,1155,TA;TP,674695.3740500739,5089884.07983207
T0038,San Michele All'Adige,46.1926,11.1325,205,TA;TP,664549.0152809151,5117657.428563274
T0059,Ziano Di Fiemme (Malga Sadole),46.2606,11.5976,1608,TA;TP,700188.8768778435,5126282.338362613
T0063,Pian Palu' (Diga),46.3366,10.6139,1800,TA;TP,624207.3207729589,5132712.809245775
T0064,Peio,46.364,10.6757,1565,TA;TP,628899.0036085795,5135856.062740412
T0065,Careser (Diga),46.4226,10.6991,2600,TA;TP,630559.110752641,5142405.6157159135
T0066,Cima Cavaion,46.423,10.715,2895,TA;TP,631779.8876183606,5142476.438476124
T0068,Cogolo Pont (Centrale),46.365,10.6889,1190,TA;TP,629911.9956854924,5135988.757352714
T0069,Passo Tonale,46.2633,10.6111,1795,TA;TP,624157.4451564192,5124564.000714993
T0071,Mezzana,46.3133,10.7959,905,TA;TP,638272.7311591351,5130425.524231835
T0074,Male',46.3516,10.9184,720,TA;TP,647601.1830448286,5134902.201816208
T0075,Rabbi (Somrabbi),46.4103,10.8036,1352,TA;TP,638619.9562672828,5141216.79828759
T0076,Rabbi (San Bernardo),46.4014,10.8495,1132,TA;TP,642170.7784967661,5140309.383761986
